id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Total Departure and Arrival Delay in Minutes,satisfaction,Average Satisfaction,1st Ticket Price,2nd Ticket Price,3rd Ticket Price,4th Ticket Price,,,,
39,Female,Loyal Customer,40,Personal Travel,Eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,4,neutral or dissatisfied,3.5,674.8740636,22.50986663,1222.119047,928.2491372,,,,
40,Female,disloyal Customer,42,Business travel,Business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,0,neutral or dissatisfied,3.79,590.281256,,,,,,,
41,Male,disloyal Customer,24,Business travel,Eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,4,satisfied,2.93,763.6317369,,,,,,,
42,Male,disloyal Customer,22,Business travel,Business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,293,neutral or dissatisfied,3,112.1063607,,,,,,,
43,Female,Loyal Customer,28,Business travel,Business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,3,satisfied,3.29,1087.268497,19.50635739,873.1154922,166.4649062,,,,
44,Female,disloyal Customer,36,Business travel,Eco Plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,114,neutral or dissatisfied,2.43,321.3497644,,,,,,,
45,Female,disloyal Customer,62,Business travel,Eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,182,satisfied,3.36,307.5850007,,,,,,,
46,Female,disloyal Customer,60,Business travel,Business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,0,satisfied,3.86,481.6186858,,,,,,,
47,Female,disloyal Customer,59,Personal Travel,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,6,neutral or dissatisfied,3.43,903.1023685,,,,,,,
48,Female,Loyal Customer,49,Business travel,Business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,4,satisfied,4.21,514.169619,508.0383809,525.9319651,1273.877728,,,,
49,Female,Loyal Customer,44,Personal Travel,Eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,0,neutral or dissatisfied,3.14,39.75216951,13.64028334,1024.044209,311.5924229,,,,
50,Female,Loyal Customer,58,Personal Travel,Eco Plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,0,neutral or dissatisfied,2.79,530.5402533,494.6526439,185.0230425,573.0360687,,,,
51,Male,disloyal Customer,24,Business travel,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,52,satisfied,3.07,733.2654466,,,,,,,
52,Female,Loyal Customer,53,Business travel,Eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,17,satisfied,3.29,1223.017647,1112.685504,689.6918599,613.8838809,,,,
53,Male,Loyal Customer,56,Business travel,Eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,0,neutral or dissatisfied,2.71,986.9797531,1226.745757,118.5145713,1199.367459,,,,
54,Female,Loyal Customer,30,Business travel,Business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,0,satisfied,4.21,874.5860064,183.1106423,1177.623107,1143.525451,,,,
55,Male,disloyal Customer,27,Business travel,Business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,76,neutral or dissatisfied,2.36,837.7771067,840.5412344,,,,,,
56,Male,disloyal Customer,27,Business travel,Business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,0,satisfied,3.36,18.18572961,1084.061185,630.8060982,,,,,
57,Female,disloyal Customer,67,Personal Travel,Eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,0,neutral or dissatisfied,3.21,318.2272012,,,,,,,
58,Female,disloyal Customer,32,Personal Travel,Eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,7,neutral or dissatisfied,3.21,39.42594021,,,,,,,
59,Male,disloyal Customer,36,Business travel,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,0,neutral or dissatisfied,1.86,3.482079842,,,,,,,
60,Male,Loyal Customer,44,Business travel,Business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,123,satisfied,4,466.7023159,665.1667249,1288.009053,16.0416477,,,,
61,Female,Loyal Customer,70,Personal Travel,Eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,0,neutral or dissatisfied,3.36,927.7133075,536.1971707,727.9379034,932.3121414,,,,
62,Female,Loyal Customer,55,Personal Travel,Eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,3,neutral or dissatisfied,3.79,1136.67515,816.7427697,229.3730492,612.327588,,,,
63,Male,Loyal Customer,66,Business travel,Eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,15,satisfied,2.93,1125.576824,196.042064,950.2373392,554.866491,,,,
64,Female,Loyal Customer,19,Business travel,Business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,0,satisfied,3.57,97.48026724,759.9607307,30.79479721,1106.5487,,,,
65,Female,Loyal Customer,53,Personal Travel,Eco Plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,6,neutral or dissatisfied,3.43,143.9525133,920.9158149,313.2201868,1145.092748,,,,
66,Male,disloyal Customer,22,Business travel,Business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,0,neutral or dissatisfied,2.36,1254.753746,1136.07393,,,,,,
67,Female,disloyal Customer,69,Personal Travel,Eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,14,neutral or dissatisfied,3.29,1067.866655,314.7604617,,,,,,
68,Female,disloyal Customer,42,Business travel,Business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,96,satisfied,4.64,488.0011975,,,,,,,
69,Female,disloyal Customer,41,Business travel,Business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,84,satisfied,3.43,912.3710704,,,,,,,
70,Female,disloyal Customer,53,Personal Travel,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,3,neutral or dissatisfied,2.93,169.6506779,1083.756773,,,,,,
71,Male,disloyal Customer,35,Business travel,Business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,0,neutral or dissatisfied,2.71,1197.948861,980.6049575,,,,,,
72,Female,disloyal Customer,54,Personal Travel,Business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,0,neutral or dissatisfied,3.36,1172.187816,,,,,,,
73,Male,disloyal Customer,44,Business travel,Business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,29,satisfied,3.5,72.00063928,,,,,,,
74,Female,disloyal Customer,26,Business travel,Eco Plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,0,neutral or dissatisfied,2.5,390.0772859,,,,,,,
75,Female,disloyal Customer,44,Personal Travel,Eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,0,neutral or dissatisfied,3.64,1100.59949,,,,,,,
76,Female,disloyal Customer,24,Business travel,Eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,55,neutral or dissatisfied,4,214.2877875,,,,,,,
77,Female,Loyal Customer,54,Personal Travel,Eco,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,0,neutral or dissatisfied,4.07,367.7425991,1156.848951,1023.264497,61.2631383,,,,
78,Male,Loyal Customer,42,Business travel,Eco Plus,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,0,neutral or dissatisfied,2.21,725.7439948,768.9943235,1077.946662,875.979355,,,,
79,Male,disloyal Customer,36,Business travel,Eco,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,0,neutral or dissatisfied,1.71,404.1082974,865.7073573,58.34443926,368.3398546,,,,
80,Female,disloyal Customer,61,Business travel,Business,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,44,satisfied,2.86,1288.668982,341.8041667,,,,,,
81,Female,disloyal Customer,50,Personal Travel,Eco,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,0,neutral or dissatisfied,3.07,1009.749228,100.9772694,,,,,,
82,Male,disloyal Customer,27,Business travel,Business,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,96,satisfied,4,435.9042643,846.0958736,,,,,,
83,Male,disloyal Customer,55,Business travel,Business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,1,neutral or dissatisfied,3.36,201.8113232,231.6465518,,,,,,
84,Male,disloyal Customer,21,Business travel,Eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,7,neutral or dissatisfied,2.29,567.3007931,283.9319202,,,,,,
85,Female,Loyal Customer,31,Personal Travel,Business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,5,neutral or dissatisfied,3.29,246.5900314,950.161829,233.7527156,331.3445629,,,,
86,Female,disloyal Customer,37,Business travel,Eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,44,neutral or dissatisfied,1.93,838.9810394,,,,,,,
87,Female,disloyal Customer,50,Business travel,Business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,9,satisfied,3.71,235.1047977,,,,,,,
88,Female,disloyal Customer,21,Personal Travel,Eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,26,neutral or dissatisfied,3.21,986.1618109,,,,,,,
89,Female,Loyal Customer,53,Business travel,Eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,0,neutral or dissatisfied,2.36,706.5347127,1166.441959,283.5208957,979.6266157,,,,
90,Male,disloyal Customer,45,Business travel,Business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,11,satisfied,3.93,307.9225335,325.9412515,,,,,,
91,Female,disloyal Customer,42,Business travel,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,34,neutral or dissatisfied,4.07,410.2532217,215.0910572,,,,,,
92,Male,disloyal Customer,59,Business travel,Business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,0,satisfied,3.64,1286.395454,1038.513363,,,,,,
93,Female,Loyal Customer,54,Business travel,Eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,178,neutral or dissatisfied,2.64,155.7763327,78.37384731,673.540394,1092.205812,,,,
94,Female,disloyal Customer,46,Business travel,Business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,5,satisfied,3.07,1224.545624,533.2994402,317.7530076,,,,,
95,Female,disloyal Customer,52,Personal Travel,Eco Plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,0,neutral or dissatisfied,2.86,553.0531106,1291.086505,408.2954281,,,,,
96,Female,disloyal Customer,38,Personal Travel,Eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,0,neutral or dissatisfied,4,264.2118658,421.9793804,1145.300937,,,,,
97,Male,disloyal Customer,35,Business travel,Business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,0,satisfied,3.29,198.1565455,615.4061402,725.5719177,,,,,z
98,Female,disloyal Customer,41,Personal Travel,Eco,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,0,neutral or dissatisfied,2.86,138.2670674,23.72499611,741.7899855,,,,,
